Spend,Revenue
675547,996037.7584
745358,1020851.098
662850,854553.1953
603379,761399.5033
582307,795834.8204
641156,737434.9126
551402,525587.0936
700685,837772.3077
553186,860537.3593
673831,903458.3326
586577,796738.106
627043,760778.1219
822615,1045681.046
550276,674894.3332
484303,688920.7735
618260,701842.93
702081,939522.6276
560160,608922.6104
581988,847832.5965
853510,1148421.501
675467,892709.1734
642878,857400.1827
548433,658564.3654
767561,975244.8385
677552,1119221.153
409935,607037.688
559075,868418.9424
574695,690865.0621
570942,641034.0388
561681,757851.4364
926768,1100361.599
697718,875360.5701
423118,579238.2513
597174,798784.3494
702889,927157.0008
620228,988722.1471
724781,1085290.629
544649,766480.512
555358,571820.6284
503773,758045.5488
497427,1003590.222
704295,918272.5936
629755,643843.1335
661873,995647.5434
463937,621874.5238
627055,910567.7871
608018,974573.8332
594698,840379.7479
673865,955574.9748
531509,754827.6229
614192,841981.1109
537546,708475.2192
651235,797386.9374
575013,754860.7716
504795,689005.9964
658774,941656.3466
474161,620837.945
532575,839583.8879
574979,754705.948
430234,564514.2706
661621,891845.6187
630759,882898.3248
671015,759499.0764
582824,826704.6637
602266,931024.5798
618330,742892.1594
597356,762621.9016
664704,841986.7083
429363,863451.1627
340098,540731.8169
574645,898286.0133
710797,985193.2769
803303,1019966.409
481725,761062.2252
575915,741347.415
760298,924025.2472
540382,913095.676
469341,638551.5824
662315,755779.8539
631504,871099.9109
606800,613282.8962
666021,752711.4205
463138,618833.1366
557037,768561.9886
603931,764053.2297
451579,579240.3622
651151,695330.1887
493303,769142.914
580652,752789.744
538309,691710.736
501696,655974.7299
503948,753978.8988
629843,917021.4983
640053,832518.5646
727297,1026067.707
585718,814457.3464
552432,860587.2255
589441,960366.2953
671979,683816.2311
638672,931942.9574
705078,947692.543
613892,815912.9775
594679,790725.1048
352123,419667.0714
612976,741690.9243
635340,741040.1356
498447,617298.1345
528198,715828.4069
619808,845688.0277
460501,721020.1083
519931,702347.2043
720373,780148.5693
539525,682398.5085
373484,579167.7721
647978,774914.6794
587172,708637.6299
507320,779282.3623
549187,875653.7864
525825,656404.4801
773910,1072497.716
722995,837901.7515
918017,1028286.601
683425,954103.6718
524705,812484.1556
690434,690386.5179
556170,754436.078
730004,943326.7183
429243,545432.1005
593237,833562.4107
680492,909849.7687
640913,898846.5579
619530,813944.1338
743586,1064587.887
697664,942613.0888
609842,709030.4799
575048,807768.795
670522,658173.6155
525696,750183.029
680631,891380.6393
557132,671386.1493
518484,735910.7828
645280,668984.2985
569080,676435.7222
508722,642323.2536
530929,717672.6894
550421,565258.3614
677142,923098.4811
731754,1055517.965
626529,843011.8187
440905,545751.9476
612276,848388.708
560532,594021.9858
600129,810795.8761
680489,764126.3617
649296,935893.709
466862,727927.8951
791525,906373.2482
548097,722972.7264
734291,909267.6007
699930,857840.7556
632205,800004.6424
687373,712438.7848
547083,616174.968
598588,813695.438
598026,638177.7449
781950,999428.2575
475492,511973.7671
648261,825681.9023
712401,1035152.885
603883,783058.3413
737037,1275446.945
679680,985737.1308
611030,692572.2428
648429,863725.5172
390545,630201.5279
402886,702836.342
576834,441525.0397
617044,898034.377
544221,644259.5252
562541,740288.1631
581204,692211.6337
755749,1136795.921
577260,924325.1551
579063,594700.8984
498911,666999.0261
461510,722583.0371
453135,620452.0457
535702,712261.3909
508816,633189.1314
637624,700500.5425
623399,757502.7694
723820,839903.2527
755046,950821.2275
717381,748687.1314
570891,651418.3814
434983,555636.6296
523841,786352.3907
541117,706472.0435
651163,771104.54
644201,817870.7737
469133,733946.6078
697752,901225.8545
585338,773319.0107
699316,1040324.479
761975,1055905.199
678584,774962.4404
565428,823657.5747
510149,805220.0376
607787,842158.3004
561280,602021.7591
744191,974079.1431
804842,1205681.764
715778,840517.6547
652602,742906.05
660603,822828.7577
553830,675824.1266
615858,770154.8913
574222,649802.5515
570712,827596.7663
577582,711575.245
714125,895347.2804
686549,856631.5269
704189,894535.452
600488,884751.3065
544450,918989.4304
583620,576988.9097
595139,722475.1268
663421,864852.2052
491053,620764.742
668254,809300.5543
658776,934253.6835
614940,749630.2419
469808,685171.5135
514274,597482.6137
497181,703904.0471
502796,515789.1324
598097,830689.052
559748,676371.1289
546085,647410.1366
467787,648007.1089
381663,579405.3503
515505,748847.2192
652005,905479.7844
723577,920205.51
665874,861214.3977
563815,827074.8815
556158,671800.8541
697682,1008383.534
606172,768187.3082
581353,813205.9798
628359,735374.1063
567639,704871.7079
655167,791257.1945
611148,805207.7495
644424,896038.8575
510761,776058.6465
1255897,0
651459,745054.9964
633375,784781.4469
623957,913143.152
830061,1044043.422
546561,562696.3655
628573,838692.7382
611692,798611.2389
717885,959349.1832
747383,816229.5359
475270,604028.8947
